s = AJ44J, new = AAA44
s = 2J727, new = 22777
s = K544J, new = KK544
s = Q286T, new = Q68T2
s = Q8K5J, new = 8QKK5
s = 38AA3, new = 833AA
s = A7777, new = 7777A
s = 7QK77, new = Q777K
s = 22226, new = 22226
s = A6Q83, new = 83AQ6
s = KK6J6, new = KKK66
s = KKK33, new = KKK33
s = 3JK33, new = KK333
s = 5T5A9, new = 55TA9
s = 2A85J, new = 2AA85
s = 5TTT5, new = TTT55
s = 467Q4, new = 76Q44
s = A76AT, new = AA76T
s = 8KKKK, new = KKKK8
s = 9JJKA, new = KAAA9
s = 5K555, new = 5555K
s = 39QQ9, new = 399QQ
s = 2A25A, new = AA225
s = 22Q42, new = 4Q222
s = 3333K, new = K3333
s = T82TA, new = TT82A
s = 6JAK6, new = 66KAA
s = 72Q2Q, new = 22QQ7
s = QJ49K, new = 4KKQ9
s = 89J6A, new = 986AA
s = TJKA8, new = TAA8K
s = 7979A, new = 99A77
s = 4KQK2, new = 2Q4KK
s = A5T3T, new = A53TT
s = A4T2Q, new = 2Q4AT
s = 8645A, new = 4658A
s = T8T8T, new = 88TTT
s = 4J4JQ, new = QQQ44
s = KJQJQ, new = QQQQK
s = 4AA44, new = AA444
s = 6A666, new = 6666A
s = 5AA92, new = 5AA92
s = Q9QJQ, new = QQQQ9
s = 674QA, new = 674QA
s = 93Q34, new = 4Q933
s = 5QQQQ, new = 5QQQQ
s = 8A8A4, new = 88AA4
s = 2AQQQ, new = 2AQQQ
s = 66JJ6, new = 66666
s = 585J5, new = 85555
s = TQKKT, new = TTQKK
s = TTTJJ, new = TTTTT
s = T8T96, new = 8TT69
s = 28622, new = 62228
s = K9365, new = 65K93
s = QK4K4, new = 44KKQ
s = TJJJT, new = TTTTT
s = 59999, new = 99995
s = JKAAA, new = KAAAA
s = 7774K, new = K7774
s = J5J2K, new = 5KKK2
s = 7474J, new = 44777
s = 58QJ4, new = QQ485
s = 34434, new = 33444
s = 55J5J, new = 55555
s = Q66AQ, new = QQA66
s = 3Q434, new = Q4433
s = Q43QJ, new = 43QQQ
s = KK3KA, new = 3AKKK
s = 5A5Q5, new = Q555A
s = QQAQQ, new = AQQQQ
s = 666QA, new = 666QA
s = 55Q55, new = Q5555
s = T8JJ3, new = TTT83
s = 69T32, new = 9T263
s = 246Q3, new = 4Q263
s = KAJA5, new = K5AAA
s = 9JJ32, new = 99932
s = T8TTT, new = TTTT8
s = 333JQ, new = 333QQ
s = KKKK2, new = KKKK2
s = 3AAJ9, new = 3AAA9
s = 22K2K, new = 222KK
s = 77377, new = 37777
s = 2Q683, new = 3Q862
s = 75562, new = 67255
s = 449A8, new = 4489A
s = 4T5J4, new = 544TT
s = J8JJJ, new = 88888
s = 443T4, new = T3444
s = AAQ74, new = AAQ47
s = 2272J, new = 77222
s = 576A8, new = 58A67
s = 64KA7, new = 674KA
s = A4845, new = A4458
s = JTA68, new = 6AA8T
s = TQAJ6, new = T6AAQ
s = 88J4Q, new = 4888Q
s = QQ442, new = QQ442
s = 3JJ33, new = 33333
s = TTAJJ, new = TTTTA
s = 22TT2, new = TT222
s = T55KT, new = TT55K
s = K23AQ, new = K3A2Q
s = 552J5, new = 25555
s = 4A2J7, new = AA724
s = TA89A, new = 8T9AA
s = A3K5K, new = 3KKA5
s = 74Q53, new = 4537Q
s = T7694, new = 964T7
s = A6JJ6, new = AAA66
s = AAAA6, new = AAAA6
s = AJ9T6, new = TAA69
s = 793J7, new = 39777
s = 29K46, new = 4K692
s = 26494, new = 64429
s = 64654, new = 44566
s = 88877, new = 88877
s = 4AJA6, new = AAA46
s = 77K87, new = 8K777
s = 6QAJ3, new = 36QAA
s = 9T224, new = 22T94
s = 77577, new = 57777
s = T5QKJ, new = QTKK5
s = 4547J, new = 44577
s = 222J3, new = 22223
s = 6Q666, new = Q6666
s = KAT25, new = 25AKT
s = 97898, new = 78899
s = 22443, new = 44223
s = 63366, new = 66633
s = 89955, new = 99855
s = 32333, new = 33332
s = A3A43, new = AA334
s = A3A3J, new = 33AAA
s = 777J7, new = 77777
s = 9Q8K8, new = 9QK88
s = 33J39, new = 33399
s = Q3KKJ, new = KKKQ3
s = 8J53T, new = 5TT83
s = J455K, new = 554KK
s = 88AAA, new = 88AAA
s = 555JT, new = T5555
s = K88KK, new = KKK88
s = T2A82, new = AT822
s = J65JT, new = 5TTT6
s = 5852J, new = 88255
s = 77585, new = 77558
s = Q43K5, new = K453Q
s = JQATQ, new = TAQQQ
s = J9928, new = 29998
s = 445T4, new = 4445T
s = 24242, new = 22244
s = 66868, new = 88666
s = 9A4QK, new = A4Q9K
s = 444T6, new = T4446
s = 23438, new = 42833
s = T3563, new = 633T5
s = 8T85K, new = 5K88T
s = AQJJ2, new = Q2AAA
s = T3887, new = 7883T
s = J4729, new = 99472
s = 2J422, new = 42222
s = 66266, new = 26666
s = 75577, new = 77755
s = 9562T, new = 9T652
s = 7T5T4, new = TT475
s = 7AKKK, new = 7KKKA
s = K2357, new = 5723K
s = T2A25, new = T225A
s = 84666, new = 48666
s = 73338, new = 87333
s = 66699, new = 66699
s = KT7T7, new = K77TT
s = JJ325, new = 23555
s = 222AT, new = T222A
s = T8TT2, new = 2TTT8
s = 8858A, new = 8885A
s = 2J842, new = 88224
s = 42TQJ, new = 42QQT
s = 7QQ33, new = QQ733
s = 4449T, new = 4449T
s = 35998, new = 99538
s = K236A, new = 6A23K
s = 887J7, new = 88877
s = 5A972, new = 5A729
s = 266A6, new = 2666A
s = 3ATK7, new = K3AT7
s = T76AT, new = 6ATT7
s = 4AT44, new = 444AT
s = 5J225, new = 55522
s = 382Q9, new = 8392Q
s = QT9K2, new = 2QK9T
s = 29979, new = 29997
s = KA66A, new = AAK66
s = T5TAT, new = 5TTTA
s = K94T4, new = 944TK
s = 54KT6, new = 4K5T6
s = 2878T, new = 2887T
s = AAA4A, new = AAAA4
s = A47A7, new = 477AA
s = J4242, new = 22444
s = 33QA9, new = 33A9Q
s = 99799, new = 99997
s = 55437, new = 35547
s = AQAAA, new = QAAAA
s = KAKKA, new = KKKAA
s = 44344, new = 44443
s = 72627, new = 77226
s = TTTAT, new = TTTTA
s = 666AA, new = 666AA
s = TJTKJ, new = TTTTK
s = Q2TJT, new = 2QTTT
s = 65A88, new = 6885A
s = J5Q75, new = 557QQ
s = 22444, new = 22444
s = 3JKJK, new = KKKK3
s = KQKQK, new = QQKKK
s = 6Q4Q8, new = 68QQ4
s = 444QJ, new = 444QQ
s = QJ545, new = 554QQ
s = 95KKK, new = 95KKK
s = 88878, new = 88887
s = 4A7J4, new = AA744
s = 9A39A, new = 3AA99
s = 892QJ, new = 982QQ
s = 47748, new = 44778
s = Q79QQ, new = 79QQQ
s = 37Q33, new = 7333Q
s = 7K4T2, new = K4T27
s = QQQ4Q, new = QQQQ4
s = KKKAK, new = KKKKA
s = 2JJ66, new = 26666
s = 48884, new = 88844
s = 88J6J, new = 68888
s = 9K9KK, new = 99KKK
s = TAJJ3, new = 3TAAA
s = 7K9KK, new = 7KKK9
s = J6Q2J, new = 6QQQ2
s = AA388, new = AA388
s = 62J72, new = 67722
s = 24222, new = 42222
s = 69699, new = 99966
s = 767KK, new = KK677
s = 9A67J, new = 69AA7
s = 26K55, new = 2655K
s = K4K94, new = 449KK
s = 49444, new = 94444
s = A6T8K, new = 6KTA8
s = 872J8, new = 78882
s = 49845, new = 44985
s = 34473, new = 33744
s = 25673, new = 35267
s = 3A3A5, new = 33AA5
s = 7TTTT, new = TTTT7
s = 9K32T, new = K932T
s = Q3A3Q, new = 33QQA
s = T4QA5, new = ATQ54
s = QTTK9, new = TTK9Q
s = 989J9, new = 99998
s = TTT77, new = TTT77
s = A9Q46, new = A6Q94
s = 9Q442, new = 9Q442
s = JAAAJ, new = AAAAA
s = 444J4, new = 44444
s = 35555, new = 35555
s = AAAA5, new = 5AAAA
s = T55T5, new = TT555
s = KKTKT, new = KKKTT
s = 5335J, new = 33555
s = 58J58, new = 55888
s = Q7TJT, new = TTTQ7
s = T232J, new = 22TT3
s = JKKJA, new = AKKKK
s = 52AK6, new = 6A2K5
s = 63336, new = 66333
s = 7K777, new = 7777K
s = 4T9KK, new = 49KKT
s = 2552T, new = 5522T
s = 2AQT3, new = AQ2T3
s = J9AAJ, new = 9AAAA
s = 46665, new = 46665
s = KT84Q, new = 4QTK8
s = 88K4J, new = 4K888
s = QQJTT, new = TTQQQ
s = 99J9J, new = 99999
s = 99659, new = 56999
s = 5Q9T8, new = 5TQ98
s = QJ5J9, new = QQQ59
s = 59JTT, new = TTT95
s = K5J95, new = 559KK
s = A2ATK, new = T2AAK
s = JK7K7, new = 77KKK
s = AJAA4, new = 4AAAA
s = T754A, new = AT745
s = 7A728, new = 77A82
s = 93T7Q, new = 3Q79T
s = QJ2K7, new = 27QKK
s = 97799, new = 77999
s = 5599Q, new = Q5599
s = T773T, new = TT773
s = 7J738, new = 77783
s = 46464, new = 44466
s = 959QQ, new = 995QQ
s = 56AA6, new = 665AA
s = Q5684, new = 6584Q
s = 8A688, new = A8886
s = 4J436, new = 63444
s = 38K33, new = 8K333
s = 888JA, new = 8888A
s = 3T35T, new = 5TT33
s = 7626T, new = 2766T
s = J8888, new = 88888
s = 2QATA, new = 2QAAT
s = KKKJJ, new = KKKKK
s = 428J8, new = 48882
s = TQ9JT, new = TTTQ9
s = TA9T9, new = TTA99
s = 87A8A, new = 788AA
s = 34493, new = 94433
s = 9J485, new = 99854
s = 56T7Q, new = 756QT
s = QJQ7Q, new = QQQQ7
s = 44464, new = 44446
s = 99K2J, new = K9992
s = 759QT, new = 7Q95T
s = KT6QQ, new = TKQQ6
s = 9KAA9, new = AA99K
s = 97K8T, new = K879T
s = 72288, new = 88227
s = 29TJ3, new = 29TT3
s = 7Q977, new = 9Q777
s = K36J8, new = 368KK
s = T9T22, new = 22TT9
s = K7JT3, new = KKT37
s = 3A9TJ, new = AA9T3
s = AJAAA, new = AAAAA
s = TTTT3, new = 3TTTT
s = AA2A2, new = 22AAA
s = 6586Q, new = 566Q8
s = 25222, new = 22225
s = Q9J75, new = 957QQ
s = A4394, new = 3A944
s = 77T79, new = 777T9
s = 4J4J4, new = 44444
s = 7JJAJ, new = AAAA7
s = 4446J, new = 44446
s = 252Q2, new = 2225Q
s = AA88J, new = AAA88
s = T4T2T, new = 2TTT4
s = KQQKQ, new = KKQQQ
s = 63888, new = 63888
s = 93493, new = 99433
s = 77977, new = 77779
s = 53J9K, new = 9KK35
s = J2324, new = 22344
s = 92954, new = 45299
s = 47J44, new = 74444
s = 98QJ8, new = 8889Q
s = 9AQ39, new = 3AQ99
s = A4AA4, new = AAA44
s = 98988, new = 88899
s = 8QTJ6, new = QQ86T
s = 33766, new = 66337
s = T6AT6, new = 66TTA
s = 96J66, new = 96666
s = 2T4KA, new = TKA24
s = A22JK, new = 22KAA
s = K3599, new = 5K399
s = J9Q96, new = 6999Q
s = Q82Q9, new = 2QQ89
s = 77474, new = 77744
s = Q4K9K, new = KK4Q9
s = 4A49T, new = 44A9T
s = QA669, new = Q66A9
s = 22333, new = 33322
s = 3K97Q, new = 7KQ39
s = QA889, new = 9Q88A
s = 595TT, new = TT559
s = J77T7, new = 7777T
s = K5587, new = 755K8
s = A7JAA, new = 7AAAA
s = T7277, new = T7772
s = 6TTT9, new = 9TTT6
s = AAA42, new = AAA42
s = KKKQK, new = QKKKK
s = K4QQK, new = KK4QQ
s = 74562, new = 62745
s = 77252, new = 52277
s = 458Q9, new = 4Q589
s = 77477, new = 77774
s = T3TT3, new = TTT33
s = 888A9, new = 9888A
s = 5QQJA, new = A5QQQ
s = 7A576, new = 77A56
s = J25T9, new = 9TT25
s = 8K884, new = 4K888
s = 65565, new = 55566
s = 47QQQ, new = 74QQQ
s = A4768, new = 6A478
s = 3J9A4, new = 493AA
s = 39T82, new = 8923T
s = 9AK43, new = 39KA4
s = K8K68, new = 6KK88
s = Q2487, new = 28Q74
s = Q8J87, new = Q8887
s = 22A22, new = A2222
s = 99KKQ, new = QKK99
s = 33533, new = 53333
s = 99J9Q, new = 9999Q
s = J262J, new = 66622
s = 89327, new = 87923
s = 7Q677, new = 777Q6
s = ATTT6, new = ATTT6
s = 7J78J, new = 87777
s = KJKK2, new = 2KKKK
s = K522Q, new = 5KQ22
s = 44AAK, new = AA44K
s = 7A7TA, new = 77AAT
s = Q9JA9, new = AQ999
s = 4K9J4, new = KK944
s = 5A424, new = A5442
s = K2782, new = 8K722
s = 9KAKJ, new = KKK9A
s = 3K3JK, new = KKK33
s = 85T37, new = 758T3
s = AAA37, new = 37AAA
s = Q777Q, new = QQ777
s = 8383A, new = 33A88
s = J66J8, new = 86666
s = T29AQ, new = A9TQ2
s = JQ487, new = 48QQ7
s = 47444, new = 74444
s = 2AAJ5, new = AAA25
s = 86886, new = 88866
s = 58525, new = 25558
s = AK9TK, new = T9KKA
s = JKKKK, new = KKKKK
s = 97JJ9, new = 79999
s = 77939, new = 77993
s = T55AK, new = TA55K
s = 73337, new = 33377
s = 6423K, new = 63K24
s = 49762, new = 96274
s = A458K, new = A58K4
s = 4T755, new = 55T47
s = 7TK48, new = K78T4
s = 22223, new = 22223
s = TKTTK, new = TTTKK
s = 5K5K5, new = 555KK
s = 2A272, new = A2227
s = Q47TA, new = T4A7Q
s = 62AKA, new = AA62K
s = K66QK, new = 66KKQ
s = 8998K, new = 99K88
s = 22992, new = 99222
s = 85TTT, new = 85TTT
s = 9TA5K, new = 95TAK
s = 4K276, new = 472K6
s = 98K88, new = 9888K
s = K8888, new = 8888K
s = 32622, new = 32226
s = KKK44, new = KKK44
s = K7J38, new = 8KK73
s = JJ32J, new = 33332
s = JKKK8, new = KKKK8
s = QA5J4, new = 5Q4AA
s = 936QA, new = 36QA9
s = 55522, new = 22555
s = K7A76, new = K776A
s = 447KJ, new = 447KK
s = 66696, new = 66669
s = 89888, new = 98888
s = 99Q33, new = 3399Q
s = 5A264, new = 524A6
s = 55A64, new = A4556
s = 83388, new = 88833
s = J5555, new = 55555
s = 7555T, new = 7555T
s = 46JT8, new = 84TT6
s = J4448, new = 84444
s = 4J777, new = 47777
s = 55955, new = 95555
s = T99AA, new = TAA99
s = 2835A, new = 325A8
s = 6559J, new = 65599
s = QQQQ3, new = QQQQ3
s = Q3AAA, new = AAA3Q
s = 6T73A, new = T37A6
s = 49KKA, new = A9KK4
s = 6A92T, new = AT926
s = 48J24, new = 88244
s = QQJ8Q, new = QQQQ8
s = 3QQ7Q, new = 3QQQ7
s = 7QQQQ, new = 7QQQQ
s = 42T79, new = 24T79
s = 35434, new = 53344
s = 9QQ99, new = 999QQ
s = 5K2QQ, new = 2K5QQ
s = 595T5, new = 5559T
s = QT6TQ, new = QQTT6
s = Q6Q76, new = 766QQ
s = J8979, new = 99987
s = TT66T, new = TTT66
s = 2T682, new = 8T226
s = JQQQJ, new = QQQQQ
s = QJ44Q, new = QQQ44
s = Q473Q, new = 4QQ73
s = QQQ99, new = QQQ99
s = 37768, new = 36877
s = QKKKT, new = TQKKK
s = 77J99, new = 77999
s = 93999, new = 99993
s = A77AA, new = AAA77
s = KK7K6, new = 76KKK
s = 22255, new = 55222
s = 94944, new = 99444
s = 3495T, new = 3T954
s = QTTQT, new = TTTQQ
s = 96AJ9, new = 999A6
s = A2224, new = 4A222
s = 62659, new = 29566
s = 7KTJT, new = KTTT7
s = T786Q, new = 7T8Q6
s = 6JA6A, new = AAA66
s = KAA9J, new = K9AAA
s = 4488T, new = 88T44
s = T2T88, new = 88TT2
s = 22Q2Q, new = 222QQ
s = 3K7K8, new = 8KK73
s = 75JQ7, new = 77QQ5
s = 3T3J5, new = 33TT5
s = 8679T, new = 7T689
s = 7TQ52, new = 72TQ5
s = QQ87A, new = 87AQQ
s = QKKKA, new = KKKAQ
s = JK99K, new = KKK99
s = JQQQ3, new = 3QQQQ
s = K4Q49, new = QK449
s = J76Q8, new = QQ768
s = TJ8J5, new = TTT85
s = 3433T, new = 3334T
s = 34AA4, new = 44AA3
s = 72877, new = 27778
s = 42836, new = 86423
s = JQQQT, new = QQQQT
s = 59955, new = 99555
s = 8K48K, new = 488KK
s = Q8KA5, new = Q8K5A
s = 974JJ, new = 99947
s = 53545, new = 35554
s = 56844, new = 56448
s = 333J3, new = 33333
s = 93JQ6, new = QQ936
s = 5TTTT, new = 5TTTT
s = 257T9, new = 295T7
s = QA6A6, new = QAA66
s = 8A298, new = 92A88
s = 29KT8, new = T28K9
s = A8A8K, new = 88KAA
s = 33QT3, new = TQ333
s = 5QKJ7, new = KKQ75
s = K2568, new = 6285K
s = A9JJ9, new = A9999
s = JA8AA, new = 8AAAA
s = 9A989, new = 9998A
s = 88J8J, new = 88888
s = 8TT55, new = 8TT55
s = ATATA, new = AAATT
s = 4K266, new = K4266
s = Q6644, new = 6644Q
s = 44KK4, new = KK444
s = 86863, new = 66388
s = 5QT36, new = T5Q36
s = A4A6A, new = 6AAA4
s = K3KTT, new = TT3KK
s = 29JJ2, new = 22999
s = AJKQJ, new = KAAAQ
s = 3975K, new = 7539K
s = T3K3J, new = KK33T
s = A334J, new = 433AA
s = 5K348, new = 8K534
s = 4A2Q4, new = 244QA
s = 666T6, new = T6666
s = A7Q9A, new = AA7Q9
s = A948Q, new = 8AQ49
s = TJ222, new = 222TT
s = KTKJ5, new = TKKK5
s = 3343J, new = 33334
s = 77282, new = 22877
s = 9J99K, new = 9999K
s = T8444, new = 444T8
s = 9KJTK, new = KKK9T
s = 54449, new = 54449
s = 2857T, new = 82T57
s = J8T88, new = 8888T
s = KKKK3, new = 3KKKK
s = 6425J, new = 66425
s = K3TQQ, new = 3TQQK
s = 6666J, new = 66666
s = 59599, new = 99955
s = 576J8, new = 88765
s = 8838J, new = 38888
s = 6Q6QQ, new = QQQ66
s = KQ366, new = 3QK66
s = QQ38Q, new = QQQ38
s = 3KJ38, new = 833KK
s = 33Q9J, new = 33QQ9
s = 8884A, new = 4888A
s = J8K23, new = 832KK
s = A82Q7, new = 8AQ27
s = 2Q424, new = 4422Q
s = 73Q5J, new = QQ735
s = 5JQJA, new = Q5AAA
s = 845Q8, new = 88Q45
s = 7893A, new = 87A39
s = J7847, new = 77748
s = KK442, new = KK244
s = Q2K9A, new = Q29AK
s = QQJ4Q, new = 4QQQQ
s = 44J3J, new = 34444
s = 72A34, new = 23A47
s = 59678, new = 65897
s = 88T88, new = 8888T
s = 7AJ33, new = 7AA33
s = K5J5J, new = 55KKK
s = T94TQ, new = 4TT9Q
s = 49Q5K, new = 5QK49
s = 44T24, new = 2T444
s = 9629K, new = K9962
s = 69T88, new = 9T886
s = 6T36T, new = 66TT3
s = 252K2, new = 222K5
s = 29797, new = 29977
s = 9372J, new = 79932
s = T8AAA, new = TAAA8
s = 89TT8, new = TT889
s = JJT78, new = TTT78
s = KAJ46, new = KAA46
s = 9TT49, new = TT499
s = K9599, new = 9995K
s = 28222, new = 82222
s = 7895A, new = 598A7
s = 95A59, new = 99A55
s = 4888J, new = 48888
s = Q9J3T, new = QQ3T9
s = 72777, new = 77772
s = 62A57, new = 57A62
s = JJJJJ, new = AAAAA
s = 7TJ43, new = 7TT43
s = 47944, new = 79444
s = 93396, new = 99633
s = 554KK, new = 554KK
s = 574K7, new = K7745
s = 6AT86, new = T866A
s = J2T2T, new = TTT22
s = 888Q8, new = 8888Q
s = QQTQQ, new = TQQQQ
s = KKK5K, new = KKKK5
s = J9KJK, new = 9KKKK
s = KJ2K9, new = KKK29
s = K5KK2, new = 5KKK2
s = 5J434, new = 34445
s = 99J99, new = 99999
s = 54779, new = 59774
s = 48K76, new = 46K87
s = 33343, new = 33334
s = 5T787, new = 5T877
s = Q942K, new = 42K9Q
s = 858J8, new = 58888
s = 9KTQ9, new = KT99Q
s = KT3K2, new = KK2T3
s = 29T98, new = 2998T
s = 7KKK7, new = KKK77
s = A6K66, new = A666K
s = 78273, new = 87723
s = 777Q7, new = Q7777
s = 2J2J2, new = 22222
s = JAK97, new = 79KAA
s = 6T64T, new = 66TT4
s = T65Q2, new = T6Q25
s = J2T2Q, new = TQQ22
s = 48348, new = 88344
s = 5J66A, new = 665AA
s = 56828, new = 25886
s = JQ457, new = 745QQ
s = 6Q6Q6, new = QQ666
s = 68J86, new = 66888
s = 7433J, new = 43377
s = QA6A8, new = Q68AA
s = TT2TT, new = 2TTTT
s = K89Q6, new = 8Q69K
s = A7T38, new = A87T3
s = 8A562, new = 6A825
s = TT7T4, new = 74TTT
s = J4443, new = 44443
s = 6J636, new = 66663
s = 4KJ4J, new = KKK44
s = 27767, new = 77762
s = A99J9, new = A9999
s = KQQJ5, new = 5QQQK
s = 8TA88, new = A888T
s = 72277, new = 22777
s = TA568, new = 8A5T6
s = 25QT4, new = 5QT24
s = AJ4J3, new = AAA43
s = A33K3, new = 333KA
s = T3QK6, new = 3TKQ6
s = 375AJ, new = 375AA
s = 799J9, new = 99997
s = 86TT8, new = 886TT
s = 44JK6, new = KK644
s = 2KKKQ, new = 2KKKQ
s = KK344, new = KK344
s = 33TTJ, new = 33TTT
s = TTAA4, new = TTAA4
s = 53252, new = 55322
s = 737KK, new = 3KK77
s = 66KT9, new = 9KT66
s = 44469, new = 64449
s = T6A2J, new = 6TAA2
s = J587Q, new = QQ587
s = 6J226, new = 22666
s = 75TKA, new = 5TAK7
s = T88K8, new = K888T
s = AT4A2, new = AAT42
s = 9JA42, new = 92AA4
s = 33Q2T, new = 233TQ
s = 56666, new = 56666
s = 4T44T, new = 444TT
s = 52Q29, new = 9522Q
s = 4T28A, new = 82TA4
s = J3366, new = 33666
s = 62J9J, new = 26999
s = JAA8Q, new = 8AAAQ
s = TT733, new = 337TT
s = TA5JT, new = TTTA5
s = 22277, new = 77222
s = 3A3A3, new = AA333
s = Q98J6, new = 986QQ
s = KJK58, new = KKK85
s = 3Q392, new = 33Q92
s = JJ466, new = 66664
s = ATTTA, new = TTTAA
s = 82248, new = 88224
s = Q9A83, new = Q38A9
s = 6556T, new = 55T66
s = JA8AJ, new = 8AAAA
s = 7A54A, new = 475AA
s = 2QQ82, new = 228QQ
s = 86666, new = 86666
s = A5J42, new = 54AA2
s = T8J8K, new = 888KT
s = AJ6T4, new = 64AAT
s = 5K544, new = K5544
s = 76359, new = 53697
s = 689J4, new = 99486
s = 37333, new = 33337
s = J2222, new = 22222
s = 88848, new = 48888
s = A9TJT, new = 9ATTT
s = 8JK46, new = 846KK
s = 75457, new = 55477
s = Q29A2, new = 9AQ22
s = 79797, new = 77799
s = 44T44, new = 4444T
s = 242JQ, new = 422QQ
s = 22292, new = 92222
s = KAA6A, new = KAAA6
s = QJ9A2, new = AA2Q9
s = 633J5, new = 33566
s = J777J, new = 77777
s = 86239, new = 86923
s = 69993, new = 99963
s = 226JK, new = 22KK6
s = J762K, new = KK726
s = J66A6, new = 666AA
s = T5JJJ, new = 5TTTT
s = 33363, new = 33336
s = A2AJA, new = AAAA2
s = 9988Q, new = 88Q99
s = 8TK6K, new = 68TKK
s = 57734, new = 45773
s = J6AAA, new = 6AAAA
s = 44J4A, new = 444AA
s = KK855, new = 855KK
s = K8662, new = 66K82
s = 6JK8A, new = AAK86
s = 59575, new = 95557
s = QQQ6Q, new = 6QQQQ
s = T9KT9, new = TT99K
s = QTT7T, new = TTTQ7
s = 95533, new = 55933
s = 22794, new = 92247
s = 5TAA7, new = T7AA5
s = 4K354, new = 5K344
s = 7KKKK, new = 7KKKK
s = K5A44, new = 445AK
s = T9353, new = T9335
s = 6926J, new = 66629
s = J9Q35, new = 39QQ5
s = 222JK, new = KK222
s = Q2QJ2, new = QQQ22
s = 4A8JT, new = T84AA
s = 97775, new = 95777
s = 6KAK5, new = AKK56
s = Q7T67, new = 77TQ6
